,ext_ID,objID,specObjID,z,u_mag,g_mag,r_mag,i_mag,z_mag,w1mpro,w2mpro,w3mpro,w4mpro,o3_hB,n2_hA,s2_hA,o1_hA,o3_o2,ne3_o2,is_AGN,which_AGN,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,w1-w2,w1-w3,w1-w4,w2-w3,w2-w4,w3-w4
0,N_17_36,1237678888525824072,4.891025836789225e+18,0.1082123,18.90512,17.17459,16.29803,15.9031,15.5795,13.205,13.021,11.107,8.577,0.6969767859841579,0.10578764581024952,-0.21123098304517035,-0.9004024739057103,0.3515070966836777,-0.5989725917505526,1,8,1.7305300000000017,2.6070899999999995,3.00202,3.3256200000000007,0.8765599999999978,1.2714899999999982,1.595089999999999,0.39493000000000045,0.7185300000000012,0.3236000000000008,0.18399999999999928,2.0980000000000008,4.628,1.9140000000000015,4.444000000000001,2.5299999999999994
1,N_16_5,1237678888525562072,4.89104342897527e+18,0.2872984,20.92362,19.23653,17.77361,17.21519,16.8783,14.348,14.087,12.838,9.482,-inf,-0.09807356317266243,-0.2601336772220777,-inf,-inf,-inf,1,8,1.6870900000000013,3.150009999999998,3.70843,4.04532,1.462919999999997,2.0213399999999986,2.358229999999999,0.5584200000000017,0.895310000000002,0.33689000000000036,0.261000000000001,1.5100000000000016,4.866000000000001,1.2490000000000006,4.605,3.356
2,N_10_37,1237679255745790159,4.892067074502056e+18,2.617279,20.75518,20.07779,20.11126,20.04045,19.70411,17.389,16.533,12.944,9.134,,,,,,,1,8,0.677389999999999,0.6439199999999978,0.7147299999999994,1.0510699999999993,-0.03347000000000122,0.03734000000000037,0.37368000000000023,0.0708100000000016,0.40715000000000146,0.33633999999999986,0.8559999999999981,4.4449999999999985,8.254999999999999,3.5890000000000004,7.399000000000001,3.8100000000000005
3,N_15_26,1237678879962497281,4.892074221327636e+18,2.272744,21.07071,20.41719,20.32949,20.38523,20.00075,17.419,16.632,12.487,8.86,,,,,,,1,8,0.6535199999999968,0.7412199999999984,0.6854799999999983,1.0699599999999982,0.08770000000000167,0.03196000000000154,0.4164400000000015,-0.05574000000000012,0.3287399999999998,0.38447999999999993,0.786999999999999,4.932,8.559000000000001,4.145000000000001,7.772000000000002,3.6270000000000007
4,N_10_33,1237679255745790329,4.892079444007868e+18,0.6368672,23.34155,21.70927,20.76383,19.45248,19.20684,15.165,14.482,10.66,8.039,0.8924869816889612,,,inf,inf,inf,1,8,1.6322800000000015,2.577720000000003,3.8890700000000002,4.134710000000002,0.9454400000000014,2.2567899999999987,2.5024300000000004,1.3113499999999974,1.556989999999999,0.24564000000000163,0.6829999999999998,4.504999999999999,7.1259999999999994,3.821999999999999,6.443,2.6210000000000004
5,N_52_3,1237678888525168885,4.89209456229275e+18,0.7354627,21.7081,21.37252,21.31793,21.17377,21.15809,17.056,16.419,13.014,9.072,,,,,,,1,8,0.3355800000000002,0.39017000000000124,0.5343300000000006,0.5500100000000003,0.05459000000000103,0.19875000000000043,0.21443000000000012,0.1441599999999994,0.1598399999999991,0.015679999999999694,0.6370000000000005,4.042000000000002,7.984000000000002,3.405000000000001,7.347000000000001,3.942
6,N_53_3,1237678888524972335,4.892117652036934e+18,2.434678,21.22497,20.75969,20.66833,20.83088,20.57627,,,,,,,,,,,1,8,0.4652799999999999,0.556639999999998,0.3940899999999985,0.6486999999999981,0.09135999999999811,-0.07119000000000142,0.18341999999999814,-0.16254999999999953,0.09206000000000003,0.25460999999999956,,,,,,
7,N_119_38,1237679322325975137,4.938249860916992e+18,0.1799144,20.22894,18.03361,16.81468,16.34622,15.98489,13.754,13.492,12.799,9.373,-1.239281939956067,-0.07760764744126283,-inf,-inf,-1.4972287381863063,-inf,1,8,2.195330000000002,3.4142600000000023,3.8827200000000026,4.244050000000001,1.2189300000000003,1.6873900000000006,2.0487199999999994,0.4684600000000003,0.8297899999999991,0.3613299999999988,0.2619999999999987,0.9550000000000001,4.381,0.6930000000000014,4.1190000000000015,3.426
8,N_110_3,1237679253599552127,4.938258931887921e+18,0.6286597,23.18909,21.64141,20.09111,19.16865,18.73513,14.016,13.019,10.341,7.819,0.6068750086253978,,,inf,0.06992686817465289,-inf,1,8,1.5476799999999997,3.0979799999999997,4.020440000000001,4.453959999999999,1.5503,2.472760000000001,2.906279999999999,0.922460000000001,1.3559799999999989,0.4335199999999979,0.9969999999999999,3.6750000000000007,6.197,2.678000000000001,5.2,2.5219999999999994
9,N_111_8,1237679254136357117,4.938284770411174e+18,0.5675994,21.18405,20.89388,20.43138,19.80199,19.64132,15.691,15.327,13.007,9.098,-0.03937993801483203,0.5822689645047286,-inf,-0.9665995900035335,0.31683126100709813,-0.567076779101279,1,8,0.2901699999999998,0.7526699999999984,1.3820599999999992,1.5427299999999988,0.4624999999999986,1.0918899999999994,1.252559999999999,0.6293900000000008,0.7900600000000004,0.16066999999999965,0.36400000000000077,2.684000000000001,6.593,2.3200000000000003,6.228999999999999,3.908999999999999
